site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset
CA-BN016,usa,east_bay,TATO,larva,1,summer,1,14,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-MANZA,usa,east_bay,TATO,larva,1,summer,1,12,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-MUD65,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-MUD66,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-MUD67,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-PIG,usa,east_bay,TATO,larva,1,summer,1,11,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-SF19,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-SF31,usa,east_bay,TATO,larva,1,summer,1,13,4,2,8.72285949905129,727.775712533322,28.3492933719167,2169.24214119144,0.583226878443039,1.50371683740561,8.84615384615385,734.474358974359,8.53846153846154,721.435897435898,0.0738900211637373,8.84968140951289,49.3238482463085,8.84615390153355,495.480676499169,,,,,,,,,,,,,,,,,,,,0.674602333596702,1.00947303052449,2.102545973809,0.215611778136828,1.64290245331425,east_bay
CA-SF79,usa,east_bay,TATO,larva,1,summer,1,14,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
FROG,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
GDPND004,usa,east_bay,TATO,larva,1,summer,1,12,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
GDPND005,usa,east_bay,TATO,larva,1,summer,1,11,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
GDPND008,usa,east_bay,TATO,larva,1,summer,1,13,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
GDPND009,usa,east_bay,TATO,larva,1,summer,1,14,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
HIDDEN,usa,east_bay,TATO,larva,1,summer,1,14,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD23,usa,east_bay,TATO,larva,1,summer,1,14,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUDEF,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTH4,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTHIDK,usa,east_bay,TATO,larva,1,summer,1,14,5,0,0.0858159855952381,0.0276380582549561,0.240284759666667,0.0434280740114102,-0.814881778250294,0.282360125233263,0.357142857142857,0.247252747252747,0,0,4767913.38370853,0.357163523876152,24.2961945619427,0.357142859484415,22.2961941718116,,,,,,,,,,,,,,,,,,,,0.427945393806839,-0.319194279015267,-0.652089303523125,-0.0618409414104835,0.867279455175398,east_bay
PRNTHMIT,usa,east_bay,TATO,larva,1,summer,1,14,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTHOWL,usa,east_bay,TATO,larva,1,summer,1,13,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRPND004,usa,east_bay,TATO,larva,1,summer,1,13,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRPND008,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRPND010,usa,east_bay,TATO,larva,1,summer,1,10,2,1,43.4286163633333,18857.9571241286,217.143081816667,94279.8253478144,0.52471187854768,8.92986179856887,43.6,18912.9333333333,43.4,18835.6,,,,,,,,,,,,,,,,,,,,,,,,,0.499940584798318,2.01352246473913,5.69510155555397,0.150463387377021,1.41404551080504,east_bay
PRPND014,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
SF37,usa,east_bay,TATO,larva,1,summer,1,13,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
VPPND001,usa,east_bay,TATO,larva,1,summer,1,11,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
VPPND006,usa,east_bay,TATO,larva,1,summer,1,14,2,1,0.216129197966666,0.445360312496823,1.51290438576667,1.86589032450668,0.0661193583853715,0.215327171002198,0.285714285714286,0.681318681318681,0.142857142857143,0.285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,0.319217418382061,2.48128010423763,7.01811995091878,-0.044368425514492,0.902883204843274,east_bay
YBBA,usa,east_bay,TATO,larva,1,summer,1,12,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BARN,usa,east_bay,BUBO,subadult,1,summer,1,29,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
