site_id,year,capture_life_stage,bd_present,num_infected,num_samps,adult_abundance,prev,mean_bd,poulin_D
10222,2005,adult,0,0,36,357,0,-1,-1
10222,2005,subadult,0,0,12,357,0,-1,-1
10222,2006,adult,0,0,5,8,0,-1,-1
10222,2006,subadult,0,0,1,8,0,-1,-1
10222,2007,adult,1,3,20,375,0.15,2.063283915935,0.4
10222,2008,adult,1,6,10,282,0.6,2.20000873763135,0.297101449275362
10222,2009,subadult,1,26,26,1,1,6.02044309126296,0.453217612003939
10222,2009,adult,1,1,2,1,0.5,3.5950550897593,0
10222,2010,subadult,1,15,15,0,1,6.12671900309573,0.697867791443381
10223,2005,"",-1,0,0,1258,-1,-1,-1
10223,2006,adult,1,1,26,1099,0.0384615384615385,2.28330122870355,0
10223,2006,subadult,1,1,3,1099,0.333333333333333,5.67158009216319,0
10223,2007,adult,1,19,19,237,1,5.73703598834646,0.381241753358803
10223,2007,subadult,1,6,6,237,1,5.89442816932043,0.153718593933785
10223,2008,adult,1,14,15,136,0.933333333333333,3.2380353020662,0.56943056943057
10223,2009,adult,1,4,7,41,0.571428571428571,2.55330839124945,0.489130434782609
10223,2009,subadult,1,1,3,41,0.333333333333333,3.98009431378529,0
10223,2010,adult,1,4,4,5,1,3.26509568218897,0.323891625615764
10223,2010,subadult,1,7,7,5,1,5.65934709786506,0.607907714606805
10224,2005,"",-1,0,0,13,-1,-1,-1
10224,2006,subadult,0,0,1,4,0,-1,-1
10224,2009,"",-1,0,0,0,-1,-1,-1
10224,2011,adult,1,1,1,-1,1,1.98227123303957,0
10225,2005,"",-1,0,0,1025,-1,-1,-1
10225,2006,adult,1,11,11,264,1,6.21139434068446,0.394230175687327
10225,2006,subadult,1,4,4,264,1,5.6780505599242,0.674599031089789
10225,2008,"",-1,0,0,0,-1,-1,-1
10225,2010,subadult,1,1,1,0,1,5.6211097818351,0
10226,2005,"",-1,0,0,49,-1,-1,-1
10226,2006,"",-1,0,0,3,-1,-1,-1
10226,2007,"",-1,0,0,2,-1,-1,-1
10226,2008,"",-1,0,0,1,-1,-1,-1
10226,2009,adult,1,1,1,1,1,1.98227123303957,0
10226,2010,adult,1,1,2,2,0.5,1.68124123737559,0
10226,2010,subadult,1,3,3,2,1,4.4140297760597,0.396376409687558
10227,2005,"",-1,0,0,120,-1,-1,-1
10227,2006,subadult,1,2,2,16,1,6.23370131587917,0.0154761904761905
10227,2006,adult,1,2,2,16,1,5.92260173423839,0.334154771810792
10227,2007,"",-1,0,0,0,-1,-1,-1
10227,2008,"",-1,0,0,0,-1,-1,-1
10227,2009,"",-1,0,0,0,-1,-1,-1
10227,2016,subadult,1,4,5,0,0.8,4.16397409241916,0.561440705254711
10228,2005,"",-1,0,0,219,-1,-1,-1
10228,2006,subadult,1,10,10,4,1,5.744507479254,0.333603224757214
10228,2008,"",-1,0,0,0,-1,-1,-1
10228,2009,adult,1,2,2,2,1,3.83589659526968,0.465473145780051
10228,2010,subadult,1,1,1,0,1,6.20100362279981,0
10228,2016,"",-1,0,0,0,-1,-1,-1
10230,2005,adult,0,0,14,56,0,-1,-1
10230,2006,adult,0,0,8,24,0,-1,-1
10230,2007,adult,1,4,6,33,0.666666666666667,2.47612918516688,0.28448275862069
10230,2007,subadult,1,1,1,33,1,2.28330122870355,0
10243,2005,"",-1,0,0,19,-1,-1,-1
10243,2006,subadult,1,1,2,12,0.5,2.38021124171161,0
10243,2006,adult,1,3,4,12,0.75,1.88192790115157,0.133333333333333
10243,2010,subadult,1,5,5,1,1,4.43561272179825,0.490671848972793
10244,2005,adult,0,0,7,304,0,-1,-1
10244,2005,subadult,0,0,1,304,0,-1,-1
10244,2006,adult,1,6,12,101,0.5,1.81093311243953,0.240740740740741
10244,2006,subadult,1,9,16,101,0.5625,2.1224941094576,0.450617283950617
10244,2010,subadult,1,5,5,0,1,4.41313205868835,0.674341289138094
10245,2005,adult,1,1,5,21,0.2,2.98227123303957,0
10245,2006,subadult,0,0,2,36,0,-1,-1
10245,2006,adult,1,1,4,36,0.25,2.45939248775923,0
10245,2010,subadult,1,4,4,0,1,5.42670816605149,0.301952631969708
10247,2005,"",-1,0,0,1,-1,-1,-1
10248,2005,"",-1,0,0,1,-1,-1,-1
10248,2006,adult,1,1,1,4,1,3.29402509409532,0
10248,2006,subadult,1,3,3,4,1,6.00602728358992,0.377904779897978
10248,2010,"",-1,0,0,1,-1,-1,-1
10249,2006,subadult,1,10,10,0,1,5.86005846566208,0.492992454990558
10249,2010,subadult,1,3,3,0,1,5.59257589660717,0.295857765749511
10250,2005,"",-1,0,0,0,-1,-1,-1
10253,2005,"",-1,0,0,2,-1,-1,-1
10254,2005,"",-1,0,0,1,-1,-1,-1
10254,2006,"",-1,0,0,2,-1,-1,-1
10254,2007,adult,0,0,2,8,0,-1,-1
10263,2005,subadult,0,0,29,862,0,-1,-1
10263,2005,adult,0,0,22,862,0,-1,-1
10263,2006,subadult,0,0,3,323,0,-1,-1
10263,2010,subadult,0,0,13,756,0,-1,-1
